"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","Lev","yes",3,1,2,"1.73","-0.55","-0.55"
"2","A","Bet","yes",0,-1,0,"0.53","0.53","-0.02"
"3","H","Atl","yes",1,0,1,"1.32","-0.18","-0.20"
"4","A","Ath","yes",3,1,1,"0.78","0.30","0.10"
"5","H","Sev","yes",0,-1,1,"1.49","-0.33","-0.23"
"6","A","Get","yes",1,0,1,"1.10","0.02","-0.21"
"7","A","Mal","yes",0,-1,0,"0.87","0.22","0.01"
"8","H","Elc","yes",3,2,3,"2.26","-1.02","-1.00"
"9","H","Val","yes",1,0,0,"1.73","-0.54","-1.54"
"10","A","Ray","yes",0,-1,0,"0.91","0.18","-1.36"
"11","H","Esp","yes",3,1,2,"1.26","-0.12","-1.48"
"12","A","Gir","yes",0,-1,0,"1.00","0.11","-1.37"
"13","H","Cel","yes",0,-1,0,"1.05","0.06","-1.31"
"14","A","FCB","yes",0,-2,1,"0.06","0.94","-0.37"
"15","H","RSo","yes",3,1,1,"1.60","-0.42","-0.79"
"16","H","RMa","yes",0,-1,1,"0.41","0.64","-0.15"
"17","A","Osa","yes",0,-3,0,"0.74","0.34","0.19"
"18","H","Ovi","yes",1,0,1,"2.09","-0.86","-0.67"
"19","A","Vil","yes",0,-2,1,"0.30","0.73","0.06"
"20","A","Atl","yes",0,-1,0,"0.24","0.79","0.85"
"21","H","Bet","yes",3,1,2,"1.07","0.05","0.90"
"22","A","Esp","yes",3,1,2,"0.85","0.24","1.14"
"23","H","Get","yes",0,-2,0,"1.36","-0.21","0.93"
"24","A","Sev","yes",1,0,1,"1.24","-0.11","0.82"
"25","H","Gir","no",NA,NA,NA,"1.44","-0.28","0.54"
"26","A","Lev","no",NA,NA,NA,"1.58","-0.41","0.13"
"27","A","Val","no",NA,NA,NA,"1.02","0.10","0.23"
"28","H","Vil","no",NA,NA,NA,"0.96","0.15","0.38"
"29","A","Cel","no",NA,NA,NA,"1.04","0.07","0.45"
"30","H","Osa","no",NA,NA,NA,"1.72","-0.53","-0.08"
"31","A","RSo","no",NA,NA,NA,"0.69","0.39","0.30"
"32","A","RMa","no",NA,NA,NA,"0.12","0.89","1.20"
"33","H","Mal","no",NA,NA,NA,"2.02","-0.80","0.40"
"34","H","Ath","no",NA,NA,NA,"1.63","-0.45","-0.06"
"35","A","Elc","no",NA,NA,NA,"0.77","0.32","0.26"
"36","H","FCB","no",NA,NA,NA,"0.59","0.47","0.73"
"37","A","Ovi","no",NA,NA,NA,"1.40","-0.25","0.48"
"38","H","Ray","no",NA,NA,NA,"1.66","-0.48","-0.00"
