"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","Bet","yes",1,0,1,"1.57","-0.08","-0.08"
"2","A","Atl","yes",1,0,1,"0.19","0.87","0.79"
"3","H","Lev","yes",3,2,2,"2.05","-0.41","0.38"
"4","A","Sev","yes",1,0,2,"1.38","0.05","0.43"
"5","H","Ovi","yes",3,1,1,"2.30","-0.58","-0.15"
"6","A","Osa","yes",1,0,1,"0.50","0.66","0.51"
"7","H","Cel","yes",3,1,2,"2.43","-0.67","-0.17"
"8","A","Ala","yes",0,-2,1,"1.13","0.22","0.06"
"9","H","Ath","yes",1,0,0,"1.72","-0.18","-0.12"
"10","A","Esp","yes",0,-1,0,"0.72","0.50","0.38"
"11","A","FCB","no",NA,NA,NA,"0.21","0.85","1.23"
"12","H","RSo","no",NA,NA,NA,"2.48","-0.71","0.53"
"13","H","RMa","no",NA,NA,NA,"0.37","0.75","1.27"
"14","A","Get","no",NA,NA,NA,"1.05","0.28","1.56"
"15","H","Gir","no",NA,NA,NA,"2.40","-0.65","0.91"
"16","A","Mal","no",NA,NA,NA,"1.44","0.01","0.92"
"17","H","Ray","no",NA,NA,NA,"1.67","-0.15","0.77"
"18","H","Vil","no",NA,NA,NA,"1.21","0.17","0.93"
"19","A","Val","no",NA,NA,NA,"1.27","0.13","1.06"
"20","H","Sev","no",NA,NA,NA,"1.69","-0.16","0.90"
"21","A","Lev","no",NA,NA,NA,"1.72","-0.18","0.72"
"22","H","FCB","no",NA,NA,NA,"1.38","0.05","0.77"
"23","A","RSo","no",NA,NA,NA,"1.06","0.27","1.04"
"24","H","Osa","no",NA,NA,NA,"2.29","-0.57","0.47"
"25","A","Ath","no",NA,NA,NA,"0.92","0.37","0.84"
"26","H","Esp","no",NA,NA,NA,"1.79","-0.23","0.61"
"27","A","Vil","no",NA,NA,NA,"0.35","0.76","1.37"
"28","A","RMa","no",NA,NA,NA,"0.08","0.95","2.32"
"29","H","Mal","no",NA,NA,NA,"2.23","-0.53","1.79"
"30","A","Ray","no",NA,NA,NA,"1.55","-0.06","1.73"
"31","H","Val","no",NA,NA,NA,"2.37","-0.63","1.10"
"32","A","Ovi","no",NA,NA,NA,"1.81","-0.24","0.86"
"33","H","Atl","no",NA,NA,NA,"2.17","-0.49","0.37"
"34","A","Cel","no",NA,NA,NA,"1.81","-0.24","0.12"
"35","H","Ala","no",NA,NA,NA,"1.99","-0.37","-0.25"
"36","A","Bet","no",NA,NA,NA,"0.66","0.55","0.30"
"37","H","Get","no",NA,NA,NA,"1.56","-0.07","0.23"
"38","A","Gir","no",NA,NA,NA,"1.79","-0.23","-0.00"
