"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","Cel","yes",3,2,2,"1.07","-0.04","-0.04"
"2","A","Sev","yes",3,1,2,"1.63","-0.58","-0.62"
"3","A","Val","yes",0,-3,0,"1.38","-0.34","-0.96"
"4","H","Ovi","yes",3,2,2,"1.75","-0.70","-1.65"
"5","A","FCB","yes",0,-3,0,"0.09","0.91","-0.74"
"6","H","Ala","yes",1,0,1,"1.63","-0.57","-1.31"
"7","H","Lev","yes",1,0,1,"1.28","-0.24","-1.56"
"8","A","Osa","yes",0,-1,1,"0.98","0.05","-1.51"
"9","H","RMa","yes",0,-1,0,"0.32","0.69","-0.82"
"10","A","Ath","yes",3,1,1,"1.07","-0.04","-0.85"
"11","H","Gir","yes",3,1,2,"0.80","0.22","-0.63"
"12","A","Mal","yes",0,-1,0,"1.13","-0.09","-0.72"
"13","H","Atl","yes",0,-1,0,"0.71","0.31","-0.41"
"14","H","Elc","yes",3,1,1,"1.62","-0.57","-0.98"
"15","A","Vil","yes",0,-2,0,"0.35","0.66","-0.32"
"16","H","Esp","yes",0,-1,0,"0.70","0.32","0.01"
"17","A","Bet","yes",0,-4,0,"0.75","0.28","0.28"
"18","A","Ray","yes",1,0,1,"1.18","-0.14","0.14"
"19","H","RSo","yes",0,-1,1,"1.17","-0.14","0.00"
"20","H","Val","yes",0,-1,0,"1.39","-0.35","-0.35"
"21","A","Gir","no",NA,NA,NA,"1.48","-0.43","-0.78"
"22","H","Cel","no",NA,NA,NA,"0.47","0.55","-0.23"
"23","A","Ala","no",NA,NA,NA,"1.17","-0.13","-0.36"
"24","H","Vil","no",NA,NA,NA,"0.33","0.68","0.32"
"25","H","Sev","no",NA,NA,NA,"0.97","0.06","0.37"
"26","A","RMa","no",NA,NA,NA,"0.16","0.84","1.22"
"27","H","Bet","no",NA,NA,NA,"0.84","0.19","1.40"
"28","A","Atl","no",NA,NA,NA,"0.18","0.82","2.23"
"29","A","Esp","no",NA,NA,NA,"0.86","0.16","2.39"
"30","H","Ath","no",NA,NA,NA,"1.18","-0.15","2.24"
"31","A","Lev","no",NA,NA,NA,"1.98","-0.92","1.32"
"32","H","FCB","no",NA,NA,NA,"0.30","0.71","2.04"
"33","A","RSo","no",NA,NA,NA,"0.97","0.06","2.09"
"34","H","Ray","no",NA,NA,NA,"1.19","-0.16","1.94"
"35","A","Ovi","no",NA,NA,NA,"1.83","-0.77","1.17"
"36","H","Mal","no",NA,NA,NA,"1.62","-0.57","0.60"
"37","A","Elc","no",NA,NA,NA,"0.71","0.31","0.91"
"38","H","Osa","no",NA,NA,NA,"1.97","-0.91","-0.00"
