"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","Ray","yes",0,-2,1,"1.32","-0.18","-0.18"
"2","A","Vil","yes",0,-5,0,"0.50","0.55","0.37"
"3","H","Sev","yes",0,-2,0,"1.15","-0.02","0.35"
"4","A","Cel","yes",1,0,1,"1.29","-0.15","0.20"
"5","H","Lev","yes",0,-4,0,"1.28","-0.14","0.05"
"6","A","Ath","yes",1,0,1,"1.27","-0.14","-0.08"
"7","H","Esp","yes",1,0,0,"0.89","0.20","0.12"
"8","H","Val","yes",3,1,2,"1.56","-0.39","-0.27"
"9","A","FCB","yes",0,-1,1,"0.10","0.91","0.65"
"10","H","Ovi","yes",1,0,3,"1.78","-0.59","0.06"
"11","A","Get","yes",0,-1,1,"1.66","-0.48","-0.42"
"12","H","Ala","yes",3,1,1,"1.43","-0.28","-0.70"
"13","A","Bet","yes",1,0,1,"0.80","0.28","-0.42"
"14","H","RMa","yes",1,0,1,"0.28","0.75","0.33"
"15","A","Elc","yes",0,-3,0,"0.99","0.12","0.45"
"16","A","RSo","yes",3,1,2,"0.98","0.12","0.57"
"17","H","Atl","yes",0,-3,0,"0.87","0.23","0.79"
"18","A","Mal","yes",3,1,2,"1.13","-0.01","0.79"
"19","H","Osa","yes",3,1,1,"1.64","-0.46","0.33"
"20","A","Esp","yes",3,2,2,"1.18","-0.05","0.27"
"21","H","Get","yes",1,0,1,"1.21","-0.08","0.19"
"22","A","Ovi","yes",0,-1,0,"1.70","-0.52","-0.33"
"23","A","Sev","no",NA,NA,NA,"1.60","-0.43","-0.75"
"24","H","FCB","no",NA,NA,NA,"0.29","0.74","-0.02"
"25","A","Ala","no",NA,NA,NA,"1.16","-0.03","-0.05"
"26","H","Cel","no",NA,NA,NA,"0.69","0.38","0.33"
"27","A","Lev","no",NA,NA,NA,"1.87","-0.67","-0.34"
"28","H","Ath","no",NA,NA,NA,"1.39","-0.24","-0.59"
"29","A","Osa","no",NA,NA,NA,"1.07","0.05","-0.54"
"30","H","Vil","no",NA,NA,NA,"0.44","0.60","0.06"
"31","A","RMa","no",NA,NA,NA,"0.18","0.84","0.90"
"32","A","Val","no",NA,NA,NA,"1.38","-0.23","0.67"
"33","H","Bet","no",NA,NA,NA,"1.03","0.08","0.75"
"34","H","Mal","no",NA,NA,NA,"1.69","-0.51","0.24"
"35","A","Ray","no",NA,NA,NA,"1.50","-0.34","-0.10"
"36","H","RSo","no",NA,NA,NA,"1.21","-0.08","-0.18"
"37","A","Atl","no",NA,NA,NA,"0.19","0.83","0.65"
"38","H","Elc","no",NA,NA,NA,"1.84","-0.65","-0.00"
