"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","Ala","yes",0,-1,1,"0.75","-0.20","-0.20"
"2","H","FCB","yes",0,-1,2,"0.16","0.74","0.53"
"3","A","Elc","yes",0,-2,0,"0.50","0.20","0.74"
"4","H","Bet","yes",1,0,2,"0.35","0.44","1.17"
"5","A","Gir","yes",3,4,4,"1.15","-0.85","0.33"
"6","H","RMa","yes",0,-3,1,"0.15","0.76","1.09"
"7","A","Get","yes",1,0,1,"0.90","-0.44","0.65"
"8","A","Ovi","yes",3,2,2,"1.45","-1.32","-0.67"
"9","H","Ray","yes",0,-3,0,"0.51","0.17","-0.50"
"10","A","Mal","yes",1,0,1,"0.76","-0.22","-0.72"
"11","H","Cel","yes",0,-1,1,"0.25","0.59","-0.13"
"12","A","Atl","yes",0,-2,1,"0.11","0.82","0.69"
"13","A","Val","yes",0,-1,0,"0.91","-0.45","0.23"
"14","H","Ath","yes",0,-2,0,"0.60","0.04","0.27"
"15","A","Osa","yes",0,-2,0,"0.64","-0.03","0.24"
"16","H","RSo","yes",1,0,1,"0.81","-0.31","-0.07"
"17","A","Sev","no",NA,NA,NA,"0.93","-0.50","-0.57"
"18","H","Esp","no",NA,NA,NA,"0.33","0.47","-0.09"
"19","A","RMa","no",NA,NA,NA,"0.12","0.81","0.72"
"20","H","Elc","no",NA,NA,NA,"0.86","-0.39","0.33"
"21","H","Atl","no",NA,NA,NA,"0.36","0.42","0.75"
"22","A","Ath","no",NA,NA,NA,"0.63","-0.01","0.74"
"23","H","Val","no",NA,NA,NA,"0.87","-0.39","0.35"
"24","A","FCB","no",NA,NA,NA,"0.06","0.90","1.25"
"25","H","Ala","no",NA,NA,NA,"0.91","-0.46","0.79"
"26","H","Gir","no",NA,NA,NA,"0.66","-0.07","0.72"
"27","A","Ray","no",NA,NA,NA,"0.84","-0.35","0.37"
"28","H","Ovi","no",NA,NA,NA,"1.00","-0.60","-0.24"
"29","A","RSo","no",NA,NA,NA,"0.87","-0.39","-0.63"
"30","H","Get","no",NA,NA,NA,"0.43","0.30","-0.32"
"31","A","Esp","no",NA,NA,NA,"0.39","0.37","0.05"
"32","H","Sev","no",NA,NA,NA,"0.45","0.28","0.33"
"33","A","Vil","no",NA,NA,NA,"0.14","0.77","1.10"
"34","H","Osa","no",NA,NA,NA,"1.10","-0.77","0.33"
"35","A","Cel","no",NA,NA,NA,"0.98","-0.57","-0.24"
"36","H","Mal","no",NA,NA,NA,"0.84","-0.35","-0.59"
"37","A","Bet","no",NA,NA,NA,"0.75","-0.21","-0.80"
"38","H","Vil","no",NA,NA,NA,"0.12","0.80","0.00"
