"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","RMa","yes",0,-1,0,"0.17","0.86","0.86"
"2","H","Val","yes",3,1,1,"1.91","-0.63","0.23"
"3","A","Esp","yes",0,-1,0,"0.79","0.33","0.56"
"4","H","Ray","yes",3,2,2,"1.90","-0.62","-0.06"
"5","A","Vil","yes",0,-1,1,"0.23","0.80","0.75"
"6","H","Elc","yes",1,0,1,"2.39","-1.04","-0.29"
"7","A","Bet","yes",0,-2,0,"0.49","0.58","0.29"
"8","H","Get","yes",3,1,2,"1.48","-0.26","0.03"
"9","A","Atl","yes",0,-1,0,"0.23","0.81","0.84"
"10","H","Cel","yes",0,-1,2,"1.13","0.04","0.87"
"11","A","Ovi","yes",1,0,0,"1.08","0.08","0.96"
"12","A","Sev","yes",0,-1,0,"0.83","0.30","1.25"
"13","H","RSo","yes",0,-2,1,"1.88","-0.60","0.65"
"14","A","Mal","yes",1,0,2,"0.59","0.50","1.15"
"15","H","Lev","yes",3,2,2,"1.93","-0.64","0.51"
"16","A","FCB","yes",0,-2,0,"0.03","0.98","1.49"
"17","H","Ala","yes",3,3,3,"2.05","-0.74","0.75"
"18","H","Ath","yes",1,0,1,"2.00","-0.70","0.05"
"19","A","Gir","yes",0,-1,0,"0.83","0.29","0.34"
"20","H","Ovi","yes",3,1,3,"2.24","-0.90","-0.56"
"21","A","Ray","yes",3,2,3,"0.69","0.41","-0.15"
"22","H","Vil","yes",1,0,2,"1.34","-0.14","-0.29"
"23","A","Cel","yes",3,1,2,"1.02","0.14","-0.15"
"24","A","Elc","yes",1,0,0,"0.55","0.54","0.38"
"25","H","RMa","yes",3,1,2,"0.88","0.25","0.64"
"26","A","Val","yes",0,-1,0,"0.73","0.38","1.02"
"27","H","Mal","yes",1,0,2,"2.28","-0.94","0.08"
"28","A","RSo","yes",0,-2,1,"0.63","0.46","0.54"
"29","H","Gir","yes",3,1,1,"1.89","-0.61","-0.07"
"30","A","Ala","yes",1,0,2,"0.71","0.39","0.32"
"31","H","Bet","yes",1,0,1,"1.53","-0.31","0.02"
"32","A","Ath","yes",0,-1,0,"0.66","0.43","0.45"
"33","H","Sev","yes",3,1,2,"1.78","-0.51","-0.06"
"34","H","FCB","yes",0,-1,1,"0.72","0.39","0.33"
"35","A","Lev","yes",0,-1,2,"0.86","0.27","0.60"
"36","H","Atl","yes",0,-1,1,"1.55","-0.32","0.28"
"37","H","Esp","no",NA,NA,NA,"1.87","-0.59","-0.31"
"38","A","Get","no",NA,NA,NA,"0.81","0.31","-0.00"
