"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","Vil","yes",0,-2,0,"0.15","0.78","0.78"
"2","H","RMa","yes",0,-3,0,"0.18","0.73","1.51"
"3","H","RSo","yes",3,1,1,"0.86","-0.28","1.23"
"4","A","Get","yes",0,-2,0,"0.80","-0.19","1.04"
"5","A","Elc","yes",0,-1,0,"0.47","0.30","1.35"
"6","H","FCB","yes",0,-2,1,"0.25","0.62","1.97"
"7","A","Val","yes",3,1,2,"0.68","-0.02","1.95"
"8","H","Lev","yes",0,-2,0,"0.97","-0.44","1.50"
"9","H","Esp","yes",0,-2,0,"0.74","-0.11","1.40"
"10","A","Gir","yes",1,0,3,"1.14","-0.70","0.70"
"11","H","Osa","yes",1,0,0,"1.56","-1.33","-0.64"
"12","A","Ath","yes",0,-1,0,"0.57","0.14","-0.49"
"13","H","Ray","yes",1,0,0,"0.62","0.08","-0.42"
"14","A","Atl","no",NA,NA,NA,"0.10","0.85","0.44"
"15","H","Mal","no",NA,NA,NA,"1.01","-0.51","-0.07"
"16","A","Sev","no",NA,NA,NA,"0.79","-0.17","-0.24"
"17","H","Cel","no",NA,NA,NA,"0.45","0.34","0.09"
"18","A","Ala","no",NA,NA,NA,"0.69","-0.02","0.07"
"19","H","Bet","no",NA,NA,NA,"0.56","0.16","0.24"
"20","A","Osa","no",NA,NA,NA,"0.73","-0.09","0.15"
"21","A","FCB","no",NA,NA,NA,"0.08","0.89","1.04"
"22","H","Gir","no",NA,NA,NA,"1.16","-0.73","0.31"
"23","A","Ray","no",NA,NA,NA,"0.59","0.12","0.43"
"24","H","Ath","no",NA,NA,NA,"0.71","-0.06","0.37"
"25","A","RSo","no",NA,NA,NA,"0.52","0.22","0.59"
"26","H","Atl","no",NA,NA,NA,"0.42","0.38","0.97"
"27","A","Esp","no",NA,NA,NA,"0.51","0.24","1.21"
"28","H","Val","no",NA,NA,NA,"1.21","-0.81","0.41"
"29","A","Lev","no",NA,NA,NA,"1.49","-1.23","-0.82"
"30","H","Sev","no",NA,NA,NA,"0.45","0.33","-0.49"
"31","A","Cel","no",NA,NA,NA,"1.01","-0.50","-0.99"
"32","H","Elc","no",NA,NA,NA,"0.90","-0.34","-1.33"
"33","H","Vil","no",NA,NA,NA,"0.19","0.71","-0.62"
"34","A","Bet","no",NA,NA,NA,"0.60","0.10","-0.52"
"35","H","Get","no",NA,NA,NA,"0.59","0.12","-0.40"
"36","A","RMa","no",NA,NA,NA,"0.05","0.93","0.53"
"37","H","Ala","no",NA,NA,NA,"1.07","-0.59","-0.06"
"38","A","Mal","no",NA,NA,NA,"0.63","0.06","-0.00"
